ID,Sensor ID,merged
id1,5352,id1=5352
id2,11377,id2=11377
id3,11378,id3=11378
id4,11379,id4=11379
id5,16611,id5=16611
id6,5402,id6=5402
id7,11380,id7=11380
id8,11381,id8=11381
id9,11382,id9=11382
id10,16613,id10=16613
id11,16606,id11=16606
id12,16608,id12=16608
id13,16607,id13=16607
id14,16609,id14=16609
id15,3284,id15=3284
id16,3283,id16=3283
id17,16864,id17=16864
id18,16865,id18=16865
id19,16866,id19=16866
id20,16863,id20=16863
id21,3399,id21=3399
id22,3112,id22=3112
id23,3113,id23=3113
id24,12551,id24=12551
id25,12552,id25=12552
id26,3095,id26=3095
id27,3096,id27=3096
id28,9886,id28=9886
id29,14703,id29=14703
id30,15707,id30=15707
id31,14664,id31=14664
id32,14665,id32=14665
id33,14719,id33=14719
id34,15792,id34=15792
id35,15793,id35=15793
id36,4974,id36=4974
id37,4975,id37=4975
id38,13695,id38=13695
id39,13696,id39=13696
id40,2379,id40=2379
id41,2380,id41=2380
id42,2415,id42=2415
id43,2416,id43=2416
id44,2417,id44=2417
id45,12849,id45=12849
id46,12850,id46=12850
id47,14095,id47=14095
id48,14096,id48=14096
id49,5492,id49=5492
id50,5497,id50=5497
id51,5633,id51=5633
id52,5505,id52=5505
id53,5506,id53=5506
id54,5543,id54=5543
id55,16298,id55=16298
id56,16313,id56=16313
id57,13881,id57=13881
id58,16950,id58=16950
id59,16951,id59=16951
id60,16949,id60=16949
id61,13894,id61=13894
id62,13942,id62=13942
id63,13943,id63=13943
id64,13981,id64=13981
id65,14559,id65=14559
id66,14560,id66=14560
id67,14561,id67=14561
id68,13995,id68=13995
id69,14049,id69=14049
id70,14050,id70=14050
id71,14030,id71=14030
id72,13890,id72=13890
id73,13907,id73=13907
id74,13908,id74=13908
id75,14005,id75=14005
id76,14010,id76=14010
id77,14035,id77=14035
id78,14086,id78=14086
id79,16821,id79=16821
id80,16822,id80=16822
id81,16867,id81=16867
id82,16868,id82=16868
id83,16140,id83=16140
id84,16144,id84=16144
id85,16157,id85=16157
id86,16158,id86=16158
id87,16159,id87=16159
id88,16200,id88=16200
id89,10847,id89=10847
id90,10846,id90=10846
id91,11756,id91=11756
id92,10317,id92=10317
id93,10318,id93=10318
id94,10784,id94=10784
id95,10785,id95=10785
id96,10786,id96=10786
id97,10787,id97=10787
id98,10788,id98=10788
id99,10789,id99=10789
id100,10790,id100=10790
id101,10791,id101=10791
id102,10792,id102=10792
id103,10793,id103=10793
id104,10794,id104=10794
id105,10235,id105=10235
id106,10122,id106=10122
id107,10123,id107=10123
id108,10159,id108=10159
id109,10168,id109=10168
id110,10158,id110=10158
id111,10191,id111=10191
id112,10192,id112=10192
id113,10867,id113=10867
id114,10868,id114=10868
id115,10866,id115=10866
id116,10891,id116=10891
id117,10892,id117=10892
id118,14592,id118=14592
id119,14580,id119=14580
id120,14625,id120=14625
id121,14614,id121=14614
id122,14397,id122=14397
id123,14398,id123=14398
id124,14374,id124=14374
id125,14375,id125=14375
id126,14445,id126=14445
id127,14446,id127=14446
id128,14454,id128=14454
id129,14455,id129=14455
id130,14463,id130=14463
id131,14464,id131=14464
id132,15498,id132=15498
id133,15499,id133=15499
id134,14928,id134=14928
id135,14927,id135=14927
id136,14907,id136=14907
id137,14957,id137=14957
id138,14906,id138=14906
id139,14859,id139=14859
id140,14860,id140=14860
id141,17099,id141=17099
id142,17092,id142=17092
id143,17093,id143=17093
id144,14861,id144=14861
id145,17110,id145=17110
id146,17142,id146=17142
id147,17143,id147=17143
id148,11550,id148=11550
id149,11557,id149=11557
id150,13476,id150=13476
id151,13477,id151=13477
id152,13478,id152=13478
id153,13475,id153=13475
id154,11561,id154=11561
id155,11569,id155=11569
id156,11572,id156=11572
id157,11559,id157=11559
id158,16122,id158=16122
id159,15023,id159=15023
id160,15025,id160=15025
id161,15818,id161=15818
id162,15819,id162=15819
id163,15820,id163=15820
id164,16814,id164=16814
id165,16815,id165=16815
id166,16816,id166=16816
id167,15821,id167=15821
id168,15822,id168=15822
id169,15823,id169=15823
id170,16811,id170=16811
id171,16812,id171=16812
id172,16813,id172=16813
id173,15081,id173=15081
id174,15082,id174=15082
id175,15223,id175=15223
id176,15221,id176=15221
id177,15224,id177=15224
id178,15222,id178=15222
id179,15120,id179=15120
id180,15121,id180=15121
id181,15465,id181=15465
id182,15064,id182=15064
id183,15063,id183=15063
id184,15396,id184=15396
id185,15395,id185=15395
id186,15397,id186=15397
id187,15129,id187=15129
id188,15130,id188=15130
id189,15042,id189=15042
id190,15039,id190=15039
id191,15040,id191=15040
id192,15041,id192=15041
id193,15452,id193=15452
id194,15451,id194=15451
id195,15278,id195=15278
id196,15277,id196=15277
id197,15383,id197=15383
id198,15357,id198=15357
id199,15308,id199=15308
id200,15307,id200=15307
id201,15309,id201=15309
id202,15306,id202=15306
id203,15138,id203=15138
id204,15139,id204=15139
id205,15364,id205=15364
id206,15363,id206=15363
id207,15416,id207=15416
id208,16859,id208=16859
id209,16101,id209=16101
id210,16102,id210=16102
id211,15858,id211=15858
id212,15859,id212=15859
id213,16026,id213=16026
id214,16109,id214=16109
id215,16108,id215=16108
id216,15899,id216=15899
id217,15949,id217=15949
id218,15985,id218=15985
id219,15847,id219=15847
id220,16114,id220=16114
id221,15953,id221=15953
id222,16112,id222=16112
id223,16113,id223=16113
id224,16048,id224=16048
id225,16049,id225=16049
id226,15998,id226=15998
id227,16111,id227=16111
id228,16110,id228=16110
id229,15974,id229=15974
id230,16115,id230=16115
id231,16229,id231=16229
id232,16012,id232=16012
id233,16084,id233=16084
id234,16097,id234=16097
id235,16037,id235=16037
id236,16854,id236=16854
id237,16899,id237=16899
id238,16907,id238=16907
id239,16253,id239=16253
id240,16251,id240=16251
id241,16252,id241=16252
id242,16303,id242=16303
id243,16304,id243=16304
id244,16289,id244=16289
id245,16290,id245=16290
id246,16393,id246=16393
id247,16394,id247=16394
id248,16395,id248=16395
id249,16340,id249=16340
id250,16400,id250=16400
id251,16359,id251=16359
id252,16401,id252=16401
id253,16103,id253=16103
id254,14845,id254=14845
id255,16104,id255=16104
id256,16874,id256=16874
id257,16875,id257=16875
id258,16869,id258=16869
id259,16436,id259=16436
id260,16437,id260=16437
id261,16438,id261=16438
id262,16432,id262=16432
id263,16433,id263=16433
id264,16434,id264=16434
id265,16435,id265=16435
id266,16886,id266=16886
id267,16883,id267=16883
id268,16884,id268=16884
id269,16885,id269=16885
id270,16879,id270=16879
id271,16880,id271=16880
id272,16881,id272=16881
id273,16882,id273=16882
id274,16518,id274=16518
id275,16517,id275=16517
id276,16513,id276=16513
id277,16514,id277=16514
id278,16515,id278=16515
id279,16516,id279=16516
id280,16877,id280=16877
id281,16878,id281=16878
id282,16530,id282=16530
id283,16531,id283=16531
id284,16532,id284=16532
id285,16480,id285=16480
id286,16479,id286=16479
id287,16550,id287=16550
id288,16553,id288=16553
id289,16554,id289=16554
id290,16555,id290=16555
id291,16551,id291=16551
id292,16552,id292=16552
id293,16561,id293=16561
id294,16562,id294=16562
id295,16563,id295=16563
id296,16564,id296=16564
id297,16567,id297=16567
id298,16568,id298=16568
id299,16569,id299=16569
id300,16575,id300=16575
id301,16576,id301=16576
id302,16577,id302=16577
id303,16578,id303=16578
id304,16581,id304=16581
id305,16582,id305=16582
id306,16583,id306=16583
id307,16584,id307=16584
id308,16585,id308=16585
id309,16589,id309=16589
id310,16590,id310=16590
id311,16591,id311=16591
id312,16595,id312=16595
id313,16596,id313=16596
id314,16597,id314=16597
id315,16598,id315=16598
id316,16847,id316=16847
id317,16848,id317=16848
id318,16667,id318=16667
id319,16666,id319=16666
id320,16638,id320=16638
id321,16626,id321=16626
id322,16672,id322=16672
id323,16671,id323=16671
id324,16674,id324=16674
id325,16673,id325=16673
id326,16697,id326=16697
id327,16762,id327=16762
id328,16761,id328=16761
id329,16965,id329=16965
id330,16963,id330=16963
id331,16964,id331=16964
id332,16987,id332=16987
id333,16988,id333=16988
id334,17002,id334=17002
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
id842,,
id843,,
id844,,
id845,,
id846,,
id847,,
id848,,
id849,,
id850,,
id851,,
id852,,
id853,,
id854,,
id855,,
id856,,
id857,,
id858,,
id859,,
id860,,
id861,,
id862,,
id863,,
id864,,
id865,,
id866,,
id867,,
id868,,
id869,,
id870,,
id871,,
id872,,
id873,,
id874,,
id875,,
id876,,
id877,,
id878,,
id879,,
id880,,
id881,,
id882,,
id883,,
id884,,
id885,,
id886,,
id887,,
id888,,
id889,,
id890,,
id891,,
id892,,
id893,,
id894,,
id895,,
id896,,
id897,,
id898,,
id899,,
id900,,
id901,,
id902,,
id903,,
id904,,
id905,,
id906,,
id907,,
id908,,
id909,,
id910,,
id911,,
id912,,
id913,,
id914,,
id915,,
id916,,
id917,,
id918,,
id919,,
id920,,
id921,,
id922,,
id923,,
id924,,
id925,,
id926,,
id927,,
id928,,
id929,,
id930,,
id931,,
id932,,
id933,,
id934,,
id935,,
id936,,
id937,,
id938,,
id939,,
id940,,
id941,,
id942,,
id943,,
id944,,
id945,,
id946,,
id947,,
id948,,
id949,,
id950,,
id951,,
id952,,
id953,,
id954,,
id955,,
id956,,
id957,,
id958,,
id959,,
id960,,
id961,,
id962,,
id963,,
id964,,
id965,,
id966,,
id967,,
id968,,
id969,,
id970,,
id971,,
id972,,
id973,,
id974,,
id975,,
id976,,
id977,,
id978,,
id979,,
id980,,
id981,,
id982,,
id983,,
id984,,
id985,,
id986,,
id987,,
id988,,
id989,,
id990,,
id991,,
id992,,
id993,,
id994,,
id995,,
id996,,
id997,,
id998,,
id999,,
id1000,,
id1001,,
id1002,,
id1003,,
id1004,,
id1005,,
id1006,,
id1007,,
id1008,,
id1009,,
id1010,,
id1011,,
id1012,,
id1013,,
id1014,,
id1015,,
id1016,,
id1017,,
id1018,,
id1019,,
id1020,,
id1021,,
id1022,,
id1023,,
id1024,,
id1025,,
id1026,,
id1027,,
id1028,,
id1029,,
id1030,,
id1031,,
id1032,,
id1033,,
id1034,,
id1035,,
id1036,,
