Device Name,Device ID
Probe Device,40

Sensor Name,Sensor ID
Core Health,1002
Probe Health,1003
System Health,1001
WMI UTC Time,9447
SNMP System Uptime,10731
Dell System Health TP-PRTG-101-100,10730
Physical Disk 0:1:0,10727
Physical Disk 0:1:1,10729
Physical Disk 0:1:2,10728
Core Health (Autonomous),1026
Probe Health,2079
System Health,2078
WMI UTC Time,3577
Syslog Receiver,3022
Uptime,3007
CPU Utilization,4772
Memory Free,4777
Thermal Detector 1,4785
Thermal Detector 2,4790
Fan 1 speed,4798
Fan 2 speed,4804
Fan 3 speed,4809
TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],7940
Eth-1/15_JIO_ILL_2G_CKT_ID_9336024697_778740107172,9984
Syslog Receiver,3545
Uptime,3575
CPU Utilization,4773
Memory Free,4778
Thermal Detector 1,4786
Thermal Detector 2,4791
Fan 1 speed,4800
Fan 2 speed,4805
Fan 3 speed,4810
Eth1/16_GW-182.78.48.9_AIRTEL_to 0/0/0/5_100.64.88.10_CKT_ID-230621100032262,7943
(001) sfp-sfpplus1-TATA Traffic,11142
(002) sfp-sfpplus2-AIRTEL Traffic,11143
(003) sfp-sfpplus3-JIO Traffic,11144
(004) sfp-sfpplus4 Traffic,11145
(005) sfp-sfpplus5 Traffic,11146
(006) sfp-sfpplus6 Traffic,11147
Syslog Receiver,11148
Uptime,11149
SNMP CPU Load,11150
Disk Free: system disk,11151
Memory: main memory,11152
(001) sfp-sfpplus1-TATA Traffic,11153
(002) sfp-sfpplus2-AIRTEL Traffic,11154
(003) sfp-sfpplus3-JIO Traffic,11155
(004) sfp-sfpplus4 Traffic,11156
(005) sfp-sfpplus5 Traffic,11157
(006) sfp-sfpplus6 Traffic,11158
Uptime,11159
CPU Load,11161
Disk Free: system disk,11162
Memory: main memory,11163
Syslog Receiver,11164
Uptime,9929
(001) BKC_TCL_121.241.40.250_Traffic,9930
(031) WAN_Bridge Traffic,9931
(005) RAGHUNANDAN 121.241.40.254 Traffic,10079
Syslog Receiver,10086
CPU,10901
Memory: main memory,10902
(006) EASTINDIA 121.241.40.253 Traffic,10917
(007) KIFS 121.241.40.252 Traffic,10918
(008) AFFILIANCE 121.241.40.251 Traffic,10919
CPU,10113
Memory,10116
Disk Free,10114
Uptime,10104
Loopback: 10.10.223.1,11015
Mgmt: 192.168.101.223 Eth-13_to_???????,11014
TCL_BGP: 14.143.129.180 Port:SFP+_01 (Bandwidth - 1 Gbps) [192.168.101.147_SFP+_16],10108
Airtel-182.78.48.12 SFP+_02 _to_ 192.168.101.24x_Eth-?,10109
Jio-115.243.72.4 SFP+_03 _to_ 192.168.101.24x_Eth-?,10110
OSPF: 172.16.15.223 Eth-3 to MT-224_Eth-3: 172.16.15.224,10947
Syslog Receiver,10694
Uptime,10118
Mgmt: 192.168.101.224 Eth-13_to_???????,10119
Loopback: 10.10.224.1,10125
TCL-14.143.129.181 SFP+_01 _to_ 192.168.101.24x_Eth-?,10120
Airtel-182.78.48.13 SFP+_02 _to_ 192.168.101.24x_Eth-?,10121
Jio-115.243.72.5 SFP+_03 _to_ 192.168.101.24x_Eth-?,10122
CPU Load,10129
Disk Free: system disk,10127
Memory: main memory,10133
Syslog Receiver,10695
OSPF: 172.16.15.224 Eth-3 to MT-224_Eth-3: 172.16.15.223,10948
Uptime,10128
(003) ether1_to_MT-223-eth1 Traffic,10131
Eth-2_to_MT-224-Eth-1,10132
(008) ether6_to_101.250_gi23 Traffic,10134
Disk Free: system disk,10141
CPU Load,10146
Memory: main memory,10152
Syslog Receiver,10696
SFP+_4_to_MT-223_SFP+_4,10940
Eth-5_to_MT-226_Eth-5,10949
Uptime,10140
(003) ether1_to_MT-223_eth2 Traffic,10142
(004) ether2_to_MT-224_eth2 Traffic,10143
(008) ether6_to_101.250_gi24 Traffic,10144
Disk Free: system disk,10153
CPU Load,10154
Memory: main memory,10155
Syslog Receiver,10697
Eth-5_to_MT-225_Eth-5,10952
(005) sfp-sfpplus4 Traffic,10955
Uptime,5166
CPU Load,5190
Syslog Receiver,5199
System Health CPU,6651
System Health Fans,6653
System Health Memory,6655
System Health Power Supplies,6654
System Health Temperatures,6652
Gi1/3 to Gi1/3_ill-sw-tp-192.168.101.231,7937
Gi1/4 to Gi1/4_ill-sw-tp-192.168.101.231,7938
MICROTIK_101.226_SFPPLUS1 Traffic,10443
UPLINK_TO_LKP_RACK-K14_FW Traffic,10465
SNMP Trap Receiver,10606
System Health Currents,10911
System Health Other,10912
System Health Voltages,10910
(10147) SW_TO_SW_PO1_101.231_Gi1/3 Traffic,10945
(10148) SW_TO_SW_PO1_101.231_Gi1/4 Traffic,10946
Uptime,5135
CPU Load,5181
Syslog Receiver,5195
System Health CPU,6659
System Health Fans,6661
System Health Memory,6663
System Health Power Supplies,6662
System Health Temperatures,6660
Gi1/3 to Gi1/3_ill-sw-tp-192.168.101.232,9925
Gi1/4 to Gi1/4_ill-sw-tp-192.168.101.232,9926
MICROTIK_101.225_SFPPLUS1 Traffic,10442
UPLINK_TO_LKP_RACK-K14_FW Traffic,10464
System Health Currents,10914
System Health Other,10915
System Health Voltages,10913
(10147) SW_TO_SW_PO1_101.232_Gi1/3 Traffic,10943
(10148) SW_TO_SW_PO1_101.232_Gi1/4 Traffic,10944
Uptime,2435
Syslog Receiver,2782
CPU Load,2900
gi3(003) to Eth1(009)_isp-wr-tp-192-168-101-221,4688
gi3(004) to Eth1(009)_isp-wr-tp-192-168-101-222,4689
gi13(013) to port1_Server_101.21,4684
gi14(014) to port2_Server_101.21,4685
Uptime,2830
System Health CPU,2891
System Health Fans,2893
System Health Memory,2892
System Health Power Supplies,2894
System Health Temperatures,2895
Syslog Receiver,2896
Gi1/0/13(20) to Gi1/0/46_mgmt-tp-10-112-11-201,3056
Gi1/0/14(21) to Gi1/0/46_mgmt-tp-10-112-11-203,3057
Gi1/0/23(40) to Gi1/0/40_mgmt-jp-192-168-99-251,8192
Uptime,2829
System Health CPU,2886
System Health Fans,2888
System Health Memory,2887
System Health Power Supplies,2889
System Health Temperatures,2890
Syslog Receiver,2975
(004) GigabitEthernet1/0/2 Traffic,3060
(005) UPLINK_192.168.101.233_MGMT Traffic,3061
Gi1/0/13(015) to Gi1/0/46_mgmt-tp-10-112-11-202,3058
Gi1/0/14(016) to Gi1/0/46_mgmt-tp-10-112-11-204,3059
Gi1/0/23 to Gi1/0/40_mgmt-jp-192-168-99-252,8193
(5001) Port-channel1 Traffic,3529
Syslog Receiver,3530
System Health CPU,6723
System Health Currents,6729
System Health Fans,6725
System Health Memory,6727
System Health Other,6730
System Health Power Supplies,6726
System Health Temperatures,6724
System Health Voltages,6728
Gi0/18(10118) to (101.100)_idrac_192.168.101.201,7975
Gi0/21(10121) to Port1_fws-tp-192-168-101-1,7976
(5001) Port-channel1 Traffic,3540
Syslog Receiver,3541
Gi0/21 to Port1_fws-tp-192-168-101-1,3554
Gi0/22 to MGMT_fws-tp-192-168-101-1(10.112.11.2),3555
Gi0/23 to MGMT_fws-tp-10-112-11-242,3556
(10124) GigabitEthernet0/24 Traffic,3557
(10125) GigabitEthernet0/25 Traffic,3558
Gi0/31 to MGMT_Fa0_ill-sw-tp-192.168.101.232,3560
Gi0/32 to MGMT_mgmt-tp-10-112-11-202,3561
Gi0/33 to MGMT_mgmt-tp-10-112-11-204,3562
Gi0/34 to MGMT_cust-tp-10-112-11-206,3563
Gi0/35 to MGMT_cust-tp-10-112-11-212,3564
Uptime,3551
System Health CPU,3569
System Health Fans,3571
System Health Memory,3570
System Health Power Supplies,3572
CPU Load,3574
(5001) Port-channel1 Traffic,2595
Syslog Receiver,2928
System Health CPU,5062
System Health Fans,5064
System Health Memory,5066
System Health Power Supplies,5065
System Health Temperatures,5063
(10101) SERVER_10.112.71.11_MGMT Traffic,5374
(10102) SERVER_10.112.71.12_MGMT Traffic,5375
(10103) SERVER_10.112.71.13_MGMT Traffic,5376
(10104) SERVER_10.112.71.14_MGMT Traffic,5377
Uptime,3897
(001) Vlan1 Traffic,3898
(10146) UPLINK_TO_101.252_Gi1/0/13 Traffic,3905
(10147) GigabitEthernet1/0/47 Traffic,3906
(10148) GigabitEthernet1/0/48 Traffic,3907
(14502) FastEthernet0 Traffic,3908
(5001) Port-channel1 Traffic,3899
System Health CPU,3911
System Health Fans,3913
System Health Memory,3912
System Health Power Supplies,3914
System Health Temperatures,3915
CPU Load,3916
Syslog Receiver,5015
(10101) SERVER_10.112.71.11_MGMT Traffic,5370
(10102) SERVER_10.112.71.12_MGMT Traffic,5371
(10103) SERVER_10.112.71.13_MGMT Traffic,5372
(10104) SERVER_10.112.71.14_MGMT Traffic,5373
(10101) vCenter-H.A_R750_Server_71.11_Vmnic9 Traffic,2601
(10102) vCenter-H.A_R750_Server_71.12_Vmnic9 Traffic,2602
(10103) vCenter-H.A_R750_Server_71.13_Vmnic9 Traffic,2603
(10104) GigabitEthernet1/0/4 Traffic,2604
(5001) Port-channel1 Traffic,2605
Syslog Receiver,2931
System Health CPU,5090
System Health Fans,5092
System Health Memory,5094
System Health Power Supplies,5093
System Health Temperatures,5091
(10101) vCenter-H.A_R750_Server_71.11_Vmnic13 Traffic,2606
(10102) vCenter-H.A_R750_Server_71.12_Vmnic13 Traffic,2607
(10103) vCenter-H.A_R750_Server_71.13_Vmnic13 Traffic,2608
(10104) GigabitEthernet1/0/4 Traffic,2609
(5001) Port-channel1 Traffic,2610
Syslog Receiver,2932
System Health CPU,5095
System Health Fans,5097
System Health Memory,5099
System Health Power Supplies,5098
System Health Temperatures,5096
(004) CONNECTED_TO_192.168.101.241_Gi0/30 Traffic,10354
(026) ###K11_LEFTSIDE_PDU### Traffic,10352
(027) ###K11_RIGHTSIDE_PDU### Traffic,10353
(053) CONNECTED_TO_192.168.101.251_Gi1/0/20 Traffic,10355
Syslog Receiver,10356
Ping,10357
Uptime,10358
Syslog Receiver,10359
Uptime,10360
Ping,10361
(004) CONNECTED_TO_192.168.101.242_Gi0/30 Traffic,10362
(053) CONNECTED_TO_192.168.101.252_Gi1/0/20 Traffic,10363
Uptime,4969
CPU Load,4983
Memory: Physical memory,4984
Syslog Receiver,5014
Eth01(1)__vNIC04-15.vc12.c02__10.112.73.15,10862
Eth02(5)__vNIC04-16.vc12.c02__10.112.73.16,10865
Eth03(9)__vNIC04-17.vc12.c02__10.112.73.17,10866
Eth04(13)__vNIC04-18.vc12.c02__10.112.73.18,10996
Eth17(65)__vNIC05-11.vc12.c02__10.112.73.11,10160
Eth-18(69)__vNIC04-12.vc12.c02__10.112.73.12,10161
Eth19(73)__vNIC04-13.vc12.c02__10.112.73.13,10162
Eth20(77)__vNIC04-14.vc12.c02__10.112.73.14,10163
Eth22(84)__vNIC06-12.vc12.c01__10.112.72.12,9813
Eth21(80)__vNIC10-11.vc12.c01__10.112.72.11,9812
Eth23(88)__vNIC10-13.vc12.c01__10.112.72.13,9814
Eth24(92)__vNIC10-14.vc12.c01__10.112.72.14,9815
Eth25(96)__vNIC08-15.vc12.c01__10.112.72.15,10164
Eth26(100)__vNIC08-16.vc12.c01__10.112.72.16,10158
Eth27(104)__vNIC08-17.vc12.c01__10.112.72.17,10159
Eth31 (120) to Eth120-31_SW-10.112.11.214,9810
Eth32 (124) to Eth124-32_SW-10.112.11.214,9811
Uptime,5010
CPU Load,5034
Memory: Physical memory,5035
Syslog Receiver,5018
Eth01(1)__vNIC14-15.vc12.c02__10.112.73.15,10868
Eth02(5)__vNIC14-16.vc12.c02__10.112.73.16,10870
Eth03(9)__vNIC14-17.vc12.c02__10.112.73.17,10871
Eth04(13)__vNIC14-18.vc12.c02__10.112.73.18,10869
Eth17(65)__vNIC08-11.vc12.c02__10.112.73.11,10167
Eth18(69)__vNIC08-12.vc12.c02__10.112.73.12,10168
Eth19(73)__vNIC08-13.vc12.c02__10.112.73.13,10169
Eth20(77)__vNIC08-14.vc12.c02__10.112.73.14,10170
Eth21(80)__vNIC12-11.vc12.c01__10.112.72.11,9822
Eth22(84)__vNIC08-12.vc12.c01__10.112.72.12,9823
Eth23(88)__vNIC12-13.vc12.c01__10.112.72.13,9824
Eth24(92)__vNIC12-14.vc12.c01__10.112.72.14,9825
Eth25(96)__vNIC10-15v.c12.c01__10.112.72.15,10171
Eth26(100)__vNIC10-16.vc12.c01__10.112.72.16,10165
Eth27(104)__vNIC10-17.vc12.c01__10.112.72.17,10166
Eth31 (120) to Eth120-31_SW-10.112.11.213,9826
Eth32 (124) to Eth124-32_SW-10.112.11.213,9827
(001) mgmt Traffic,2761
(002) ha Traffic,2762
FortiGate System Statistics,7142
SNMP System Uptime,7143
(019) Direct_Customer_1 Traffic,7687
(034) WAN_SW_101.231/232_P24 Traffic,7688
(045) 5 PAISA CAAS 20DEPTH WAN Traffic,10956
(051) 5PAISA_20DEPTH_LAN Traffic,10957
(001) mgmt Traffic,2751
(002) ha Traffic,2752
(034) SW_101.231/232_P23 Traffic,2754
FortiGate System Statistics,7141
SNMP System Uptime,7144
(019) Direct_Customer_1 Traffic,7684
(033) WAN_SW_101.231/232_P23 Traffic,7685
(045) 5 PAISA CAAS 20DEPTH WAN_Traffic,9607
(051) 5PAISA_20DEPTH_LAN Traffic,9608
(051) 5PAISA_20DEPTH_LAN Traffic,10908
wan1 Traffic,2768
LAN Traffic,2770
MGMT Traffic,2771
HA Traffic,2772
(010) HA Traffic,2769
SNMP System Uptime,7145
FortiGate System Statistics,7162
(001) mgmt Traffic,2718
(019) SW_101.231/232_P21_WAN Traffic,2719
(020) SW_101.231/232_P24_WAN Traffic,2720
(021) SW_10.112.11.205/206_P41 Traffic,2721
(022) SW_10.112.11.205/206_P42 Traffic,2722
(033) HA Traffic,2723
(034) HA Traffic,2724
Syslog Receiver,5131
Uptime,7146
FortiGate System Statistics,7629
(047) DHARMIK_LAN Traffic,11030
(001) mgmt Traffic,2729
(019) SW_101.231/232_P21_WAN Traffic,2730
(020) SW_101.231/232_P24_WAN Traffic,2731
(021) SW_10.112.11.205/206_P41 Traffic,2732
(022) SW_10.112.11.205/206_P42 Traffic,2733
(033) HA Traffic,2734
(034) HA Traffic,2735
Uptime,7147
FortiGate System Statistics,7630
(047) DHARMIK_LAN Traffic,11031
(001) mgmt Traffic,9772
(002) ha Traffic,9775
(016) SSL VPN interface Traffic,9773
(019) LAN_SW_11.211/212_PORT39 Traffic,9774
(020) LAN_SW_11.211/212_PORT40 Traffic,9776
Uptime,9777
(001) mgmt Traffic,9778
(002) ha Traffic,9779
(019) LAN_SW_11.211/212_PORT39 Traffic,9780
(020) LAN_SW_11.211/212_PORT40 Traffic,9781
(033) WAN_SW_101.231/232_P25 Traffic,9782
(034) WAN_SW_101.231/232_P26 Traffic,9783
(035) naf.root Traffic,9784
(036) l2t.root Traffic,9785
(037) IIFL_LAN_VLAN_2011 Traffic,9786
(038) IIFL_LAN_2_VLAN_2012 Traffic,9787
(042) IIFL _VLAN_310 Traffic,9788
(043) IIFL2_VLAN333 Traffic,9789
FortiGate System Statistics,10925
(016) SSL VPN interface Traffic,9795
(019) LAN_SW_11.211/212_PORT39 Traffic,9796
(020) LAN_SW_11.211/212_PORT40 Traffic,9797
(033) WAN_SW_101.231/232_P25 Traffic,9798
WAN_SW_101.231/232_P26 Traffic,9799
(037) IIFL_LAN_VLAN_2011 Traffic,9800
(038) IIFL_LAN_2_VLAN_2012 Traffic,9801
(041) IIFL_TO_CDC Traffic,9802
(043) IIFL2_VLAN333 Traffic,9804
FortiGate System Statistics,10926
(042) IIFL2 _VLAN_310 Traffic,10927
VSAN_10.112.101.11 Traffic (Eth-1),10386
VSAN_10.112.101.12 Traffic (Eth-2),10387
VSAN_10.112.101.13 Traffic (Eth-3),10388
VSAN_10.112.101.14 Traffic (Eth-4),10389
(436371456) UPLINK_TO_SW_10.112.11.207_Eth1/50 Traffic,9749
(436375552) UPLINK_TO_SW_10.112.11.208_Eth1/50 Traffic,9750
(436391936) UPLINK_192.168.101.252_Gi1/0/22 Traffic,9753
Syslog Receiver,9754
Uptime,9755
(369098791) VEEM_BACKUP_SERVER_10.112.103.61_port1 Traffic,5067
(436256768) VMOTION_10.112.101.11 Traffic,5072
(436260864) VMOTION_10.112.101.12 Traffic,5073
(436264960) VMOTION_10.112.101.13 Traffic,5074
(436305920) CUSTOMER_10.112.101.11 Traffic,5075
(436310016) CUSTOMER_10.112.101.12 Traffic,5076
(436314112) CUSTOMER_10.112.101.13 Traffic,5077
(436318208) CUSTOMER_10.112.101.14 Traffic,5078
(436355072) FGT200F_10.112.11.241_Port3 Traffic,5079
(436359168) FGT200F_10.112.11.241_Port4 Traffic,5080
(436363264) IIFL_FGT100F_10.112.11.243_Port1 Traffic,5081
(436371456) UPLINK_TO_SW_10.112.11.207_Eth1/49 Traffic,5083
(436375552) UPLINK_TO_SW_10.112.11.208_Eth1/49 Traffic,5084
(436391936) UPLINK_192.168.101.251_Gi1/0/22 Traffic,5087
Syslog Receiver,5088
System Health CPU,6753
System Health Currents,6755
System Health Other,6757
System Health Temperatures,6756
System Health Voltages,6754
(83886080) mgmt0 Traffic,3470
Syslog Receiver,3471
System Health CPU,5120
System Health Other,7136
System Health Temperatures,7135
System Health Voltages,7133
System Health Currents,7137
mgmt0 Traffic,3445
Syslog Receiver,3446
Uptime,5523
System Health CPU,6743
System Health Currents,6745
System Health Other,6747
System Health Temperatures,6746
System Health Voltages,6744
Eth1/22_VLAN-305_to_GE5_10.110.3.2,9880
Eth1/23_VLAN-306_to_GE0/0/0_10.195.49.2,9881
(10103) UPLINK_KREDENT_ROUTER_151.50 Traffic,10609
(10104) UPLINK_TO_FGT200F_10.112.11.245_Port3 Traffic,10610
(10105) UPLINK_TO_FGT200F_10.112.11.246_Port3 Traffic,10611
(10147) UPLINK_TO_FW_10.112.11.245_PORT1_LAN_DIRECT_CUSTOMER Traffic,10612
(10148) UPLINK_TO_FW_10.112.11.246_PORT1_LAN_DIRECT_CUSTOMER Traffic,10613
Uptime,10614
Ping,10615
Syslog Receiver,10616
(10147) GigabitEthernet1/0/47 Traffic,10618
(10148) GigabitEthernet1/0/48 Traffic,10619
(14502) FastEthernet0 Traffic,10621
Syslog Receiver,10622
Ping,10623
Uptime,10624
(10502) FastEthernet0 Traffic,10626
Uptime,10627
Ping,10628
Syslog Receiver,10629
(006) UPLINK_FOR_SFT203_10.112.11.208_ETH1/1 Traffic,10257
(010) AIRTEL_NSE Traffic,10252
(011) TCL_NSE Traffic,10253
(012) TCL_BSE Traffic,10254
(057) TIKONA_UPLINK Traffic,10256
Syslog Receiver,10347
(056) UPLINK_TO_AIRTEL_P2P Traffic Traffic,10693
(052) UPLINK_TO_ME3600_101.229_SW_Gi0/3 Traffic,10880
(053) UPLINK_TO_ME3600_101.230_SW_Gi0/3 Traffic,10881
(051) UPLINK_FOR_SFT203_10.112.11.208_ETH1/1 Traffic,10929
(006) UPLINK_TO_RAGHU_SW_10.246_STT-TECH_K-12 Traffic,10336
(054) UPLINK_TO_QNQ_SW_101.235_Xg0/0/1 Traffic,10335
Uptime,10339
Syslog Receiver,10346
(007) GRD_AIRTEL_NSE_100.60.247.118_PORT_23_TO_101_QNQ_ROUTER_4321_GE0/0/0 Traffic,10375
(008) GRD_TCL_CDC_MUX_172.23.180.245_PORT 7 Traffic,10376
(010) GRD_TTML__MUX_10.121.103.7_PORT 5_TO_FIREWALL_PORT_5 Traffic,10372
(055) XGigabitEthernet0/0/2 Traffic,10686
(056) XGigabitEthernet0/0/3 Traffic,10687
(052) UPLINK_TO_ME3600_101.229_SW_Gi0/4 Traffic,10878
(053) UPLINK_TO_ME3600_101.230_SW_Gi0/4 Traffic,10879
Syslog Receiver,10896
Syslog Receiver,10897
Probe Health,5508
System Health,5507
Disk Free,5509
vmxnet3 Ethernet Adapter,5510
WMI UTC Time,9448
CPU Utilization,4767
Fan 1 speed,4792
Fan 2 speed,4793
Fan 3 speed,4794
Memory Free,4768
Thermal Detector 1,4780
Thermal Detector 2,4781
Uptime,3602
Syslog Receiver,5593
(001) MIKROTIK_221_ETH1 Traffic,7945
(002) MIKROTIK_222_ETH1 Traffic,7947
TCL_GW: 121.241.91.153 Eth-1/16 (Bandwidth - 600 Mbps) {Circuit ID-091GAND0300A0080936} [MuX - ??],7946
CPU Utilization,4769
Fan 1 speed,4795
Fan 2 speed,4801
Fan 3 speed,4806
Memory Free,4774
Syslog Receiver,3609
Thermal Detector 1,4782
Thermal Detector 2,4787
Uptime,3603
Airtel_GW: 182.78.96.129 Eth-1/15 (Bandwidth - 300 Mbps) {Circuit ID-230628100032662} [MuX - ??],8029
CPU Load,4200
Disk Free: system disk,4199
Memory: main memory,4201
Uptime,4183
Syslog Receiver,4690
TCL_BGP: 121.241.91.154 Eth-1 to EC_S5520_192.168.100.147_SFP+_01,5535
Airtel_BGP: 182.78.96.132 Eth-2 to EC_S5520_192.168.100.148_SFP+_01,5536
OSPF: 10.222.6.1 Eth-5 to MTK_192.168.101.222_Eth-5 (OSPF:10.222.6.2),11099
CPU Load,4219
Disk Free: system disk,4218
Memory: main memory,4220
Uptime,4202
TCL_BGP: 121.241.91.155 Port:Eth-1 [192.168.100.147_SFP+_02],4241
Airtel_BGP: 182.78.96.133 Port:Eth-2 [192.168.100.148_SFP+_02],4242
